date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2005%20Apr%202022%2002:27:14%20GMT	http://antrian.pratamaciptasolusindo.com/robots.txt		(from )
09:27:13	4028/4028	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2002:27:14%20GMT	http://antrian.pratamaciptasolusindo.com/	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/index.html	(from )
09:27:13	214775/214775	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/assets/css/bootstrap.css	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/assets/css/bootstrap.css	(from http://antrian.pratamaciptasolusindo.com/)
09:27:14	31000/31000	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/css/font-awesome.min.css	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/font-awesome/css/font-awesome.min.css	(from http://antrian.pratamaciptasolusindo.com/)
09:27:14	1812/1812	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/prismjs/themes/prism-okaidia.css	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/prismjs/themes/prism-okaidia.css	(from http://antrian.pratamaciptasolusindo.com/)
09:27:14	1976/1976	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Sep%202013%2014:30:10%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/css/jquery.gritter.css	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/gritter/css/jquery.gritter.css	(from http://antrian.pratamaciptasolusindo.com/)
09:27:14	3503/3503	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/assets/css/custom.min.css	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/assets/css/custom.min.css	(from http://antrian.pratamaciptasolusindo.com/)
09:27:15	7378/7378	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2002:27:16%20GMT	http://antrian.pratamaciptasolusindo.com/layar/	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/layar/index.html	(from http://antrian.pratamaciptasolusindo.com/)
09:27:15	13185/13185	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Apr%202022%2002:27:16%20GMT	http://antrian.pratamaciptasolusindo.com/anjungan/	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/anjungan/index.html	(from http://antrian.pratamaciptasolusindo.com/)
09:27:15	4312/4312	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20Sep%202013%2014:30:10%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/gritter/js/jquery.gritter.min.js	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/gritter/js/jquery.gritter.min.js	(from http://antrian.pratamaciptasolusindo.com/)
09:27:16	12786/12786	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Jun%202021%2001:01:52%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/jquery.print/js/jquery.print.js	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/jquery.print/js/jquery.print.js	(from http://antrian.pratamaciptasolusindo.com/)
09:27:16	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2005%20Apr%202022%2002:27:17%20GMT	http://antrian.pratamaciptasolusindo.com/petugas/	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/petugas/index.html	(from http://antrian.pratamaciptasolusindo.com/)
09:27:19	50773/50773	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/prismjs/prism.js	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/prismjs/prism.js	(from http://antrian.pratamaciptasolusindo.com/)
09:27:19	79665/79665	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2006%20May%202021%2002:10:38%20GMT	http://antrian.pratamaciptasolusindo.com/public/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	A:/Contohhalaman/antiran/antrian.pratamaciptasolusindo.com/public/vendor/bootstrap/dist/js/bootstrap.bundle.min.js	(from http://antrian.pratamaciptasolusindo.com/)
